,,,,,,,,,,
,수집카테고리,필터이름,URL,수집상품 개수,필터 누적 매출금액,,사업자명,수집사이트,총 상품개수,매출합계
,노트북 액세서리,섬김Trade1- 11번가 아마존-노트북 액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150375&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,섬김Trade1, 11번가 아마존,0,
,PC 관리용품,섬김Trade1- 11번가 아마존-PC 관리용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150384&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,CPU,섬김Trade1- 11번가 아마존-CPU,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150383&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,분홍색으로 색칠된 칸은 별도의 값 입력 하지 않습니다.,,,
,컴퓨터용품,섬김Trade1- 11번가 아마존-컴퓨터용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150381&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,"식품, 화장품, 영유아 관련용품, 식기류, 생활화학 제품, 애완동물 용품(샴푸, 사료, 귀 세정제 등), 초소형카메라, 레이저, 도서 상품 수집 금지",,,
,PC 액세서리,섬김Trade1- 11번가 아마존-PC 액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150386&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,쿨러,섬김Trade1- 11번가 아마존-쿨러,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150382&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,노트북 받침대,섬김Trade1- 11번가 아마존-노트북 받침대,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150374&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,PC 변환젠더,섬김Trade1- 11번가 아마존-PC 변환젠더,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150385&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,영상편집보드,섬김Trade1- 11번가 아마존-영상편집보드,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150379&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,PC 파워,섬김Trade1- 11번가 아마존-PC 파워,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150389&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,마우스 주변기기,섬김Trade1- 11번가 아마존-마우스 주변기기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150400&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,마우스/키보드 세트,섬김Trade1- 11번가 아마존-마우스/키보드 세트,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150399&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,네트워크 장비,섬김Trade1- 11번가 아마존-네트워크 장비,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150428&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스캐너,섬김Trade1- 11번가 아마존-스캐너,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150412&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,키보드,섬김Trade1- 11번가 아마존-키보드,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150401&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,헤드셋,섬김Trade1- 11번가 아마존-헤드셋,https://www.11st.co.kr/amazon/category?dispCtgr3No=1211918&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,마우스,섬김Trade1- 11번가 아마존-마우스,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150398&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,USB 허브,섬김Trade1- 11번가 아마존-USB 허브,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150426&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,젠더,섬김Trade1- 11번가 아마존-젠더,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150405&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스위칭 허브,섬김Trade1- 11번가 아마존-스위칭 허브,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150411&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,공유기,섬김Trade1- 11번가 아마존-공유기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150427&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,유무선 공유기,섬김Trade1- 11번가 아마존-유무선 공유기,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150413&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,태블릿 액세서리,섬김Trade1- 11번가 아마존-태블릿 액세서리,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150059&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,태블릿/전자책,섬김Trade1- 11번가 아마존-태블릿/전자책,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150058&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,스케이트,섬김Trade1- 11번가 아마존-스케이트,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150240&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,차량정비용품>흡/배기 튜닝,섬김Trade1- 11번가 아마존-차량정비용품>흡/배기 튜닝,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151078&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,차량정비용품>타이어 용품,섬김Trade1- 11번가 아마존-차량정비용품>타이어 용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1151075&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,파티용품,섬김Trade1- 11번가 아마존-파티용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150886&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,라벨 용품,섬김Trade1- 11번가 아마존-라벨 용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150900&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,사무기기/소모품,섬김Trade1- 11번가 아마존-사무기기/소모품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150904&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,바디 소품,섬김Trade1- 11번가 아마존-바디 소품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150322&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,자전거 용품,섬김Trade1- 11번가 아마존-자전거 용품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150227&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,자전거 잡화,섬김Trade1- 11번가 아마존-자전거 잡화,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150228&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,여성가방,섬김Trade1- 11번가 아마존-여성가방,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150142&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
,여행용 가방/소품,섬김Trade1- 11번가 아마존-여행용 가방/소품,https://www.11st.co.kr/amazon/category?dispCtgr3No=1150143&benefit=MBSHP_PRD&benefit=NON_MBSHP_FREE_DLV,,,,,,,
